kilometraj_total,vechime_ani,coolant_temp_c,oil_temp_c,oil_pressure_bar,maf_gps,map_kpa,battery_v,vibratii_relanti,zile_de_la_ultima_revizie,delta_temp,pressure_low,pressure_very_low,service_overdue,coolant_overheat,oil_overheat,battery_low,vibratii_high,airflow_mismatch,pressure_margin,pressure_expected,pressure_residual,delta_days,delta_km,trend_temp,trend_pressure,trend_vibratii,trend_battery,anomaly_count,temp_stress,pressure_stress,health_index,defect
7681,2,86.46,97.89,3.381,19.42,76.09,14.15,1.47,76,11.43,0,0,0,0,0,0,0,0,2.181,3.186,0.194,77,2681,-0.0071,0.0293,0.0797,0.0095,0,0.0,0.0,0.0,0
207948,16,89.49,90.5,3.002,12.73,43.28,13.44,2.64,135,1.0,0,0,0,0,0,0,0,0,1.802,2.923,0.079,94,3399,0.2992,-0.2398,0.4603,0.1037,0,0.0,0.0,0.009,0
153881,14,87.82,85.59,3.147,10.58,35.96,13.4,2.49,72,-2.23,0,0,0,0,0,0,0,0,1.947,3.032,0.115,59,1677,-0.0426,-0.0117,-0.1382,0.3228,0,0.0,0.0,0.0,0
66121,9,90.54,96.57,1.943,10.68,33.53,14.15,1.99,251,6.02,0,0,1,0,0,0,0,0,0.743,2.903,-0.96,97,997,0.3024,0.9662,0.6812,-0.0437,1,0.0,0.8,0.2496,1
103697,9,93.5,98.02,3.232,11.5,48.6,14.25,1.79,60,4.52,0,0,0,0,0,0,0,0,2.032,2.934,0.297,103,3172,-0.0379,0.1106,0.1626,-0.0076,0,0.0,0.0,0.0166,0
252864,18,88.29,95.1,2.607,11.19,33.06,13.01,3.15,87,6.81,0,0,0,0,0,0,0,0,1.407,2.75,-0.143,62,2421,0.2004,0.1077,0.0095,0.3581,0,0.0,0.1195,0.0611,0
37607,2,86.35,88.78,3.394,6.06,26.68,14.31,1.18,294,2.43,0,0,1,0,0,0,0,0,2.194,3.171,0.223,80,1628,0.1305,0.1966,-0.0833,0.0452,1,0.0,0.0,0.0125,0
222099,14,97.8,97.3,2.679,11.13,41.55,13.54,2.93,17,-0.5,0,0,0,0,0,0,0,0,1.479,2.82,-0.141,49,1636,0.9095,-0.0321,0.0103,0.0176,0,0.0,0.1176,0.0461,0
65516,5,88.57,93.27,3.211,10.37,41.44,14.16,1.4,184,4.7,0,0,1,0,0,0,0,0,2.011,3.08,0.131,86,908,0.082,0.1389,-0.0902,0.0094,1,0.0,0.0,0.0232,0
89653,2,85.44,86.6,3.595,13.53,36.16,14.63,1.1,290,1.15,0,0,1,0,0,0,0,0,2.395,3.253,0.342,119,2010,0.0428,-0.0332,0.0275,0.0739,1,0.0,0.0,0.028,0
